,Title,Event Number,Report Count,Event Date,Newsroom,Description,Detailed Description,Short Introduction,Risk to Human Rights,instances with privacy violations,privacy sensitivity,privacy violations severity,instances with injustice to rights,Severity of injustice,instances involving vulnerable groups,emotional and psychological harm,vulnerable groups affected,cases where harm is reversible,affected by challenges to self-identity and values,Severity of emotional and psychological harm,instances where the harm persists,Physical harm,Severity of Physical harm ,instances where the physical harm persists,cases where the physical harm is reversible,instances where the harm is easily detectable,Economic loss,instances where economic losses persist,the severity of economic impact,extent of impact is fixed,affected individuals,affected local population,global implications,Whether humans can be replaced,Whether there is a law to regulate,AI-based specificity,cases affected by untimely data training and maintenance,cases affected by opaque and recurring weak capacities,cases affected due to limitations of traditional supervisory methods,lifecycle time period-planning and design,lifecycle time period-collection and processing data,lifecycle time period-building usage model,lifecycle time period-verification and verification,lifecycle time period-deployment ,lifecycle time period-Operation and Monitoring,lifecycle time period-End User Use and Impact,Geographical Attributes-Timeliness,Geographical Attributes-Accuracy,Data Production Process -Acquisition,Data Production Process-Preprocessing,Data Production Process-Integration,Data Production Process-Storage and Management,Data Production Process-Analysis and Processing,Data Production Process-Application Communication
33,一名道路工程师在涉及自动驾驶仪的特斯拉的碰撞后丧生,221,2个,2022-03-07,夸林,描述：在台湾，一辆自动驾驶模式下的特斯拉Model 3，司机没有注意道路，与一辆修路车相撞；一位道路工程师立即在特斯拉车前放置了碰撞警告，但很快就被一辆宝马撞死，因为司机没有看到标志而撞上了事故。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,False,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,False,True
34,Waze 涉嫌堵塞街道并指示司机做出不安全的交通决定,226,3个,2015-04-01,夸林,描述：多年来，Waze 试图缩短出行时间，据称造成了更多的交通拥堵，并引导司机做出不安全且通常未经允许的交通决定，洛杉矶市议会的一名成员将其描述为对公共安全的威胁.,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,True,False,Routine or Significant Potential Damage,True,False,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,False,True,True,True,False,True,False
35,据称 Waze 应用程序导致游客的汽车最终停在佛蒙特州尚普兰湖,227,3个,2018-01-12,夸林,描述：驾车经过佛蒙特州的游客指责 Waze 将他们引导到尚普兰湖的一艘小船，当司机在黑暗和大雾的天气中意识到他们的位置时，促使车辆滑入水中。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,True,False,False,True,True,serious potential Damage,True,True,False,False,False,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,True,False,True,False
36,苹果地图据称是指导滑雪旅行的情侣在山区未铺砌的道路上,228,1个,2019-02-01,夸林,描述：据称，在洛杉矶附近，Apple Maps 将一对在山区滑雪的夫妇引导到一条出城的非常规路线，司机发现自己迷路了，被困在雪中未铺砌的道路上。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,False,True,False,True
37,自动驾驶的 Model 3 特斯拉在佛罗里达州撞上一辆卡车，司机死亡,230,1个,2019-03-01,夸林,描述：在佛罗里达州，一辆处于自动驾驶模式的 Model 3 Tesla 撞上了一辆牵引拖车，导致 50 岁的司机死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,False,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True
38,一辆特斯拉在中国高速公路上撞死一名扫路车,231,4个,2016-01-20,夸林,描述：一辆特斯拉 Model S 在中国邯郸附近的高速公路上与一辆扫路车相撞并撞死，特斯拉此前表示无法确定事故发生时 Autopilot 是否正在运行。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,False,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True
39,自动驾驶的特斯拉 Model X 错过了停放的车辆和行人，在日本杀死了摩托车手,232,4个,2018-04-29,夸林,描述：据报道，在日本神奈川，一辆在自动驾驶仪上运行的特斯拉 Model X 未能识别停在其路径上的摩托车、行人和货车，并撞倒了一名摩托车手，该摩托车手之前在他的摩托车组成员发生事故时停下来。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,False,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,False,False,True,True,True,False,True,False
40,据称 Waze 经常引导司机穿过 Los Gatos 镇，阻塞了其唯一的野火逃生路线,234,2个,2019-09-06,夸林,描述：Los Gatos 镇居民指责 Waze 应用程序涉嫌让周末去海滩的司机穿过他们的社区，从而导致高野火危险风险，在发生医疗紧急情况或野火时有效地切断了他们唯一的逃生路线。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True
41,据称 Cruise 的自动驾驶汽车与他们的服务器失去连接，导致旧金山交通堵塞,253,4个,2022-05-18,夸林,描述：视频显示 Cruise 的自动驾驶汽车停在路中间，并在旧金山造成堵塞，据称由于与公司服务器失去连接而被禁用。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,True,True,Routine or Significant Potential Damage,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,False,True,False
42,动物收容所部署的机器人在其办公室外的人行道上巡逻，驱散旧金山的无家可归者,261,8个,2017-11-15,夸林,描述：防止虐待动物协会 (SPCA) 部署了一个 Knightscope 机器人在其办公室外的区域自动巡逻并驱赶无家可归的人，这被居民批评为恐吓工具，并被旧金山市命令停止在公共通行权上使用。,,,True,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,True,Routine or Significant Potential Damage,True,True,True,True,False,Routine or Significant Potential Damage,True,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,True,True,False,True,False
43,自动驾驶的特斯拉 Model 3 轿车在犹他州的追尾事故中杀死了摩托车手,271,3个,2022-07-24,夸林,描述：一辆在自动驾驶模式下运行的特斯拉 Model 3 在犹他州的州际公路上撞上了一辆哈雷戴维森摩托车的后部，将骑手从摩托车上甩下来并当场死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,False,False,False,True,True,False,True,True,False
44,Grab 调整匹配算法，为在附属汽车租赁服务注册的司机提供优惠待遇,272,3个,2019-10-08,夸林,描述：Grab Indonesia 因不公平地偏袒通过 Grab 附属公司 Teknologi Pengangkutan Indonesia (TPI) 租车的司机而被印度尼西亚竞争委员会 (KPPU) 罚款，包括通过他们的配对算法提供更多乘车服务。,,,True,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,True,some potential damage,False,True,False,True,False,some potential damage,False,False,Potential hazard with zero or negligible risk,False,False,,True,False,some potential damage,True,False,True,False,False,False,True,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False
45,Starship 送货机器人磨损了德克萨斯州居民汽车的保险杠，据称拒绝发布事故录像,289,2个,2020-06-15,夸林,描述：在得克萨斯州弗里斯科，一个 Starship 送餐机器人撞上了一辆在红绿灯十字路口等候的车辆的前保险杠，据报道该公司拒绝发布这段视频。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,,False,Potential hazard with zero or negligible risk,False,False,False,True,False,some potential damage,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,True,False
46,据报道，苹果的 AV 在硅谷试驾中难以驾驭街道,292,3个,2021-09-01,夸林,描述：据报道，苹果公司的自动驾驶汽车在公司硅谷总部附近的道路试驾期间，在穿过十字路口后撞上了路边，并努力保持在自己的车道上。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,False,some potential damage,True,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
47,Cruise 的自动驾驶汽车在旧金山十字路口卷入多人受伤事故,293,7,2022-06-03,夸林,描述：一辆 Cruise 自动驾驶汽车在旧金山的一个十字路口左转，在一辆相反方向行驶的丰田普锐斯前方发生撞车事故，导致两辆车内的乘客受伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
48,据称特斯拉自动驾驶仪在希腊发生的非致命碰撞中发生故障,294,4个,2018-05-26,夸林,描述：特斯拉 Model 3 司机称 Autopilot 出现意外故障，在没有警告的情况下右转并撞上希腊塞萨洛尼基附近的道路分隔线，导致其车轮和车门受损，但没有造成司机受伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,True,some potential damage,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,False,True,False
49,EasyMile 自动驾驶班车意外停在中途，一名乘客受伤,297,3个,2020-02-20,夸林,描述：Smart Columbus 在林登街区部署的一辆自动驾驶班车意外停在街上，导致一名妇女从座位上跌落在地。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,False,True,True,False,False,Potential hazard with zero or negligible risk,True,True,False,False,True,False,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,True,False
50,据报道，FSD 上的特斯拉在加州开错了车道,304,1个,2021-11-03,夸林,描述：一辆处于全自动驾驶 (FSD) 模式的特斯拉 Model Y 在左转后驶入错误的车道，尽管据称其驾驶员试图超车，导致与另一辆在错误车道上行驶的车辆发生非致命碰撞。加利福尼亚州布雷亚。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,False,False,True,True,False,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
51,特斯拉自动驾驶 TACC 在欧洲高速公路上撞上货车,306,3个,2016-05-26,夸林,描述：在一段视频中，一辆使用 Autopilot 的交通感知巡航控制 (TACC) 功能运行的 Tesla Model S 的司机在交通繁忙的欧洲高速公路上撞上一辆停放的面包车，导致汽车前部受损。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,False,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False
52,Atlas 机器人在大会上摔下舞台,308,2个,2017-07-03,夸林,描述：波士顿动力公司的自主机器人阿特拉斯据称在未来科技领袖大会上被舞台灯绊倒，导致从舞台上摔下来。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,True,False,some potential damage,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False
53,特斯拉自动驾驶仪在印第安纳州撞上停放的消防车致死,319,5个,2019-12-29,夸林,描述：一辆处于自动驾驶模式的特斯拉在印第安纳州的州际公路上未能看到一辆停放的消防车并撞向其尾部，导致一名亚利桑那州妇女死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
54,自动驾驶的特斯拉在加州高速公路上与停放的消防车相撞,320,4个,2018-01-22,夸林,描述：在加利福尼亚州卡尔弗城的高速公路上，一辆以自动驾驶模式运行的特斯拉 Model S 撞上了一辆停放的消防车的后部，发生了非致命碰撞。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
55,自动驾驶仪上的特斯拉 Model X 撞上加州高速公路护栏，导致司机死亡,321,12,2018-03-23,夸林,描述：据称，在加利福尼亚州山景城，一辆使用自动驾驶仪的交通感知巡航控制系统 (TACC) 和自动转向系统运行的特斯拉 Model X P100D 在高速公路上加速超过限速，并直接撞向障碍物，导致司机死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True
56,特斯拉 Model 3 在康涅狄格州高速公路上撞上警察巡逻车,322,2个,2019-12-07,夸林,描述：在康涅狄格州诺沃克的州际公路上，一辆自动驾驶的特斯拉 Model 3 撞上一辆停着的巡逻警察的汽车，警察停下来协助一名被困的驾车者。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True
57,自动驾驶的特斯拉在加利福尼亚撞上了停放的警车,323,4个,2018-05-29,夸林,描述：在加利福尼亚州拉古纳海滩，一辆处于自动驾驶模式的特斯拉轿车与一辆停在拉古纳海滩警察局的汽车相撞，导致司机受轻伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,False,True,True,True,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
58,自动驾驶仪上的特斯拉在州际公路上撞毁了停在密歇根州的警车,333,6个,2021-03-17,夸林,描述：在密歇根州伊顿县，一辆自动驾驶的特斯拉 Model Y 与一辆停着的密歇根州警察 (MSP) 的汽车相撞，该车的应急灯亮着，但没有人受伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
59,英国签证简化算法据称存在基于国籍的歧视,335,8个,2015-03-01,夸林,描述：英国内政部评估签证申请风险的算法明确考虑了国籍，据称导致候选人面临更多审查和歧视。,,,True,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,True,Routine or Significant Potential Damage,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
60,据报道，英国内政部的虚假婚姻检测算法不成比例地标记了某些民族,336,4个,2015-03-01,夸林,描述：英国内政部用于检测假结婚的不透明算法将某些国籍标记为比其他国籍更多的调查对象，引发了人们对基于国籍和年龄的歧视的担忧。,,,True,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,True,Routine or Significant Potential Damage,False,True,False,True,False,Routine or Significant Potential Damage,True,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False
61,ACC 上的特斯拉 Model S 在德克萨斯州撞树，造成两人死亡,337,9,2021-04-17,夸林,描述：据报道，一辆 2019 款特斯拉 Model S 在自适应巡航控制系统 (ACC) 下高速行驶，然后在得克萨斯州斯普林斯的伍德兰兹附近撞上一棵树，造成两人死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,False,False,True,True,False,Unsustainable Potential Damage,True,True,False,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
62,据称本田的 CMBS 误报导致客户发生事故,340,1个,2017-02-01,夸林,描述：据称，本田的碰撞缓解制动系统 (CMBS) 由于经常出现错误的障碍物检测而导致消费者发生事故。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,True,False,True,True,True,serious potential Damage,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True
63,日产的“自动紧急制动”误报给司机带来交通风险,341,5个,2017-04-06,夸林,描述：日产的自动紧急制动 (AEB) 功能在一系列误报和突然制动行为的投诉中被报道，危及车内乘员和交通参与者。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,True,False,True,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
64,Waymo 自动驾驶出租车行为异常，远离支持人员,347,3个,2021-05-06,夸林,描述：视频显示，一辆 Waymo 自动驾驶出租车载着一名乘客滞留在亚利桑那州的一条道路上，突然从该公司的路边救援人员身边开走，最后被困在更远的路上。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,False,True,True,True,False,Routine or Significant Potential Damage,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,False,True,False
65,自动驾驶的特斯拉在佛罗里达州撞上拖车，司机死亡,353,4个,2019-03-01,夸林,描述：一名特斯拉 Model 3 司机在佛罗里达州高速公路上撞上拖拉机拖车的下腹部前几秒打开了自动驾驶仪，导致特斯拉司机死亡。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Unsustainable Potential Damage,True,False,True,True,True,Unsustainable Potential Damage,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False
66,优步涉嫌违反 GDPR，未能就司机的自动分析提供足够的通知,354,5个,2020-06-20,夸林,描述：Uber 在一项诉讼中被指控提供了不完整的有关自动决策和司机分析的通知，例如有关他们的驾驶行为和电话使用的信息。,,,True,True,Routine or Significant Potential Damage,Routine or Significant Potential Damage,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
67,优步涉嫌通过自动化系统错误地指控司机欺诈,355,4个,2018-07-07,夸林,描述：优步在一场诉讼中被指控错误地指控其在英国和葡萄牙的司机通过自动化系统进行欺诈活动，导致他们被解雇，无权上诉。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,True,False,True,True,Routine or Significant Potential Damage,True,False,Potential hazard with zero or negligible risk,False,False,False,True,True,serious potential Damage,True,False,True,False,False,False,True,True,False,True,False,False,True,True,True,True,False,False,False,True,True,True,False,True,False
68,TuSimple 卡车驶入州际高速公路分水岭,378,2个,2022-04-06,肖恩麦格雷戈,描述：一辆由后备司机驾驶的 TuSimple 自动驾驶卡车按照过时的指令顺序行驶，突然转向州际高速公路的中央分水岭。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,True,some potential damage,True,True,False,False,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False
69,自动 Roborace 汽车直接撞墙,381,1个,2020-10-29,夸林,描述：在 Season Beta 1.1 比赛的第一轮中，一辆自动驾驶的 Roborace 汽车撞墙了。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,True,False,True,False
70,巡航自动驾驶汽车拦截消防车应对紧急情况,389,3个,2022-04-05,夸林,描述：旧金山一辆应对火灾的消防车被一辆停在对面车道上的自动驾驶 Cruise 汽车挡住，无法通过一辆并排停放的垃圾车，这辆 Cruise 汽车原地不动，没有倒车清理车道。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,False,False,True,True,False,some potential damage,True,True,False,False,True,False,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False,False,True
71,特斯拉自动驾驶仪错误识别路上的马车,398,3个,2022-08-15,夸林,描述：Tesla Autopilot 的计算机视觉系统在一段视频中出现，将马车误认为其他交通工具，例如卡车、汽车和跟随汽车的人。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,False,False,False,False,False,True,True
72,小鹏P7自动导航辅助驾驶山东撞车,426,1个,2022-09-23,夸林,内容简介：一辆小鹏P7在山东某高速公路上与一辆卡车相撞，驾驶NGP模式自动导航辅助驾驶系统的小鹏P7与一辆货车相撞，造成司机轻伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True
73,邮轮出租车的突然刹车据称将人们置于危险之中,427,3个,2022-03-15,夸林,描述：Cruise 的自动驾驶出租车突然减速、刹车并从后面被撞，据称成为意想不到的道路障碍物，可能使乘客和其他人处于危险之中。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,True,Routine or Significant Potential Damage,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,True
74,特斯拉自驾模式突然刹车 多车连环隧道,434,7,2022-11-24,夸林,描述：一名特斯拉司机声称全自动驾驶 (FSD) 意外制动是导致旧金山发生八辆汽车相撞事故的原因，该事故导致九人受轻伤。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,Routine or Significant Potential Damage,True,True,True,True,True,some potential damage,True,False,True,False,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True
75,特斯拉司机在德国睡着之前将汽车置于自动驾驶状态,436,9,2022-12-28,夸林,描述：一名特斯拉司机在德国班贝格附近的高速公路上睡着了，他在激活了他的车辆的自动驾驶模式后睡着了，该模式没有回应警方试图将其靠边停车的尝试。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,serious potential Damage,False,False,False,False,False,Potential hazard with zero or negligible risk,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,True
76,据报道，特斯拉 FSD 增加了撞车风险，促使召回,478,13,2016-09-09,夸林,描述：监管机构认为特斯拉全自动驾驶系统的一个组件会增加撞车风险，例如超速或非法或不可预测地通过十字路口，导致召回数十万辆汽车。,,,False,False,Potential hazard with zero or negligible risk,Potential hazard with zero or negligible risk,False,Potential hazard with zero or negligible risk,False,False,False,False,False,Potential hazard with zero or negligible risk,False,True,some potential damage,True,False,False,True,True,some potential damage,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
